nome_instancia,nome_algoritmo,caminho_solucao,custo_solucao,profundidade_solucao,tempo_execucao_segundos,nos_visitados,nos_explorados,fator_medio_ramificacao
regua_puzzle_009,Backtracking,BBBAA-BAA -> BBB-AABAA -> B-BBAABAA -> -BBBAABAA -> BB-BAABAA -> BBAB-ABAA -> BBABBA-AA -> BBABBAAA- -> BBABBAA-A -> BBABB-AAA -> BBA-BBAAA -> B-ABBBAAA -> -BABBBAAA -> AB-BBBAAA -> ABBB-BAAA -> ABBBAB-AA -> ABBBABAA- -> ABBBABA-A -> ABBBA-ABA -> ABB-ABABA -> A-BBABABA -> AB-BABABA -> -BABABABA -> B-ABABABA -> BBA-ABABA -> BBABA-ABA -> BBABABA-A -> BBABAB-AA -> BBAB-BAAA -> BB-BABAAA -> -BBBABAAA -> B-BBABAAA -> BBB-ABAAA -> BBBBA-AAA,58.0,33,0.000176,34,33,1.000000
regua_puzzle_009,Breadth-First Search,BBBAA-BAA -> BBBA-ABAA -> BBBABA-AA -> BBBAB-AAA -> BBB-BAAAA,6.0,4,0.000152,58,28,2.035714
regua_puzzle_009,Depth-First Search,BBBAA-BAA -> BBBAAAB-A -> BBBAAABA- -> BBBAAA-AB -> BBBAA-AAB -> BBB-AAAAB -> BB-BAAAAB -> BBAB-AAAB -> BBABAA-AB -> BBABAABA- -> BBABAAB-A -> BBABAA-BA -> BBABA-ABA -> BBABABA-A -> BBABAB-AA -> BBAB-BAAA -> BBABB-AAA -> BBABBA-AA -> BBAB-ABAA -> BBA-BABAA -> BBAAB-BAA -> BBAABAB-A -> BBAABABA- -> BBAABA-AB -> BBAAB-AAB -> BBAA-BAAB -> BBAAAB-AB -> BBAAABBA- -> BBAAABB-A -> BBAAAB-BA -> BBAA-BABA -> BBAAB-ABA -> BBA-BAABA -> BB-ABAABA -> B-BABAABA -> BAB-BAABA -> BABAB-ABA -> BABABBA-A -> BABABB-AA -> BABAB-BAA -> BABABAB-A -> BABABABA- -> BABABA-AB -> BABAB-AAB -> BABA-BAAB -> BABAAB-AB -> BABAABBA- -> BABAABB-A -> BABAA-BBA -> BABA-ABBA -> BA-ABABBA -> BAA-BABBA -> BAAAB-BBA -> BAAABBB-A -> BAAABBBA- -> BAAABB-AB -> BAAABBA-B -> BAAAB-ABB -> BAAA-BABB -> BAA-ABABB -> BAABA-ABB -> BAABABA-B -> BAABABAB- -> BAABAB-BA -> BAAB-BABA -> BAABB-ABA -> BAABBBA-A -> BAABBB-AA -> BAAB-BBAA -> BA-BABBAA -> BAB-ABBAA -> BABBA-BAA -> BABBAB-AA -> BABB-BAAA -> BAB-BBAAA -> B-BABBAAA -> BB-ABBAAA -> BBBA-BAAA -> BBBAB-AAA -> BBB-BAAAA,120.0,79,0.017669,2607,1587,1.642092
regua_puzzle_009,Ordered Search,BBBAA-BAA -> BBBA-ABAA -> BBBABA-AA -> BBBAB-AAA -> BBB-BAAAA,6.0,4,0.000048,14,5,2.600000
regua_puzzle_009,Greedy Search,BBBAA-BAA -> BBBA-ABAA -> BBBABA-AA -> BBBAB-AAA -> BBB-BAAAA,6.0,4,0.000035,14,5,2.600000
regua_puzzle_009,A* Search,BBBAA-BAA -> BBBA-ABAA -> BBBABA-AA -> BBBAB-AAA -> BBB-BAAAA,6.0,4,0.000100,32,14,2.214286
regua_puzzle_009,IDA* Search,BBBAA-BAA -> BBBA-ABAA -> BBBABA-AA -> BBBAB-AAA -> BBB-BAAAA,6.0,4,0.000268,119,44,2.590909
regua_puzzle_010,Backtracking,BBBB-AAAA,0.0,0,0.000016,1,0,0.000000
regua_puzzle_010,Breadth-First Search,BBBB-AAAA,0.0,0,0.000008,1,0,0.000000
regua_puzzle_010,Depth-First Search,BBBB-AAAA,0.0,0,0.000006,1,0,0.000000
regua_puzzle_010,Ordered Search,BBBB-AAAA,0.0,0,0.000022,1,0,0.000000
regua_puzzle_010,Greedy Search,BBBB-AAAA,0.0,0,0.000038,1,0,0.000000
regua_puzzle_010,A* Search,BBBB-AAAA,0.0,0,0.000008,1,0,0.000000
regua_puzzle_010,IDA* Search,BBBB-AAAA,0.0,0,0.000005,1,0,0.000000
regua_puzzle_011,Backtracking,BBABB-AAABA -> BBA-BBAAABA -> B-ABBBAAABA -> -BABBBAAABA -> AB-BBBAAABA -> ABBB-BAAABA -> ABBBAB-AABA -> ABBBABAA-BA -> ABBBABAAAB- -> ABBBABAAA-B -> ABBBABA-AAB -> ABBBA-ABAAB -> ABB-ABABAAB -> A-BBABABAAB -> AB-BABABAAB -> -BABABABAAB -> B-ABABABAAB -> BBA-ABABAAB -> BBABA-ABAAB -> BBABABA-AAB -> BBABABAAA-B -> BBABABAAAB- -> BBABABAA-BA -> BBABAB-AABA -> BBAB-BAAABA -> BB-BABAAABA -> -BBBABAAABA -> B-BBABAAABA -> BBB-ABAAABA -> BBBBA-AAABA -> BBBBAAA-ABA -> BBBBAAABA-A -> BBBBAAAB-AA -> BBBBAA-BAAA -> BBBB-AABAAA -> BB-BBAABAAA -> -BBBBAABAAA -> B-BBBAABAAA -> BBB-BAABAAA -> BBBAB-ABAAA -> BBBABBA-AAA -> BBBABBAAA-A -> BBBABBAA-AA -> BBBABB-AAAA -> BBBA-BBAAAA -> BB-ABBBAAAA -> -BBABBBAAAA -> B-BABBBAAAA -> BAB-BBBAAAA -> BABBB-BAAAA -> BABBBAB-AAA -> BABBBABAA-A -> BABBBABA-AA -> BABBBA-ABAA -> BABB-ABABAA -> BA-BBABABAA -> -ABBBABABAA -> A-BBBABABAA -> ABB-BABABAA -> ABBAB-BABAA -> ABBABAB-BAA -> ABBABABAB-A -> ABBABABA-BA -> ABBABA-ABBA -> ABBA-ABABBA -> AB-ABABABBA -> -BAABABABBA -> B-AABABABBA -> BAA-BABABBA -> BAAAB-BABBA -> BAAABAB-BBA -> BAAABABBB-A -> BAAABABB-BA -> BAAABA-BBBA -> BAAA-ABBBBA -> BA-AAABBBBA -> -ABAAABBBBA -> A-BAAABBBBA -> AAB-AABBBBA -> AABAA-BBBBA -> AABAABB-BBA -> AABAABBBB-A -> AABAABBB-BA -> AABAAB-BBBA -> AABA-BABBBA -> AA-ABBABBBA -> -AAABBABBBA -> A-AABBABBBA -> AAA-BBABBBA -> AAABB-ABBBA -> AAABBBA-BBA -> AAABBBABB-A -> AAABBBAB-BA -> AAABBB-BABA -> AAAB-BBBABA -> AA-BABBBABA -> -AABABBBABA -> A-ABABBBABA -> ABA-ABBBABA -> ABABA-BBABA -> ABABABB-ABA -> ABABABBBA-A -> ABABABBB-AA -> ABABAB-BBAA -> ABAB-BABBAA -> AB-BABABBAA -> -BABABABBAA -> B-ABABABBAA -> BBA-ABABBAA -> BBABA-ABBAA -> BBABABA-BAA -> BBABABAAB-A -> BBABABAABA- -> BBABABAA-AB -> BBABAB-AAAB -> BBAB-BAAAAB -> BB-BABAAAAB -> -BBBABAAAAB -> B-BBABAAAAB -> BBB-ABAAAAB -> BBBBA-AAAAB -> BBBBAAA-AAB -> BBBBAAAAA-B -> BBBBAAAAAB- -> BBBBAAAA-BA -> BBBBAA-AABA -> BBBB-AAAABA -> BB-BBAAAABA -> -BBBBAAAABA -> B-BBBAAAABA -> BBB-BAAAABA -> BBBAB-AAABA -> BBBABAA-ABA -> BBBABAABA-A -> BBBABAAB-AA -> BBBABA-BAAA -> BBBA-ABBAAA -> BB-ABABBAAA -> -BBABABBAAA -> B-BABABBAAA -> BAB-BABBAAA -> BABAB-BBAAA -> BABABBB-AAA -> BABABBBAA-A -> BABABBBA-AA -> BABABB-ABAA -> BABA-BBABAA -> BA-ABBBABAA -> -ABABBBABAA -> A-BABBBABAA -> AAB-BBBABAA -> AABBB-BABAA -> AABBBAB-BAA -> AABBBABAB-A -> AABBBABA-BA -> AABBBA-ABBA -> AABB-ABABBA -> AA-BBABABBA -> -AABBABABBA -> A-ABBABABBA -> ABA-BABABBA -> ABAAB-BABBA -> ABAABAB-BBA -> ABAABABBB-A -> ABAABABB-BA -> ABAABA-BBBA -> ABAA-ABBBBA -> AB-AAABBBBA -> -BAAAABBBBA -> B-AAAABBBBA -> BAA-AABBBBA -> BAAAA-BBBBA -> BAAAABB-BBA -> BAAAABBBB-A -> BAAAABBB-BA -> BAAAAB-BBBA -> BAAA-BABBBA -> BA-AABABBBA -> -ABAABABBBA -> A-BAABABBBA -> AAB-ABABBBA -> AABBA-ABBBA -> AABBABA-BBA -> AABBABABB-A -> AABBABAB-BA -> AABBAB-BABA -> AABB-BABABA -> AA-BBBABABA -> -AABBBABABA -> A-ABBBABABA -> ABA-BBABABA -> ABABB-ABABA -> ABABBBA-ABA -> ABABBBABA-A -> ABABBBAB-AA -> ABABBB-BAAA -> ABAB-BBBAAA -> AB-BABBBAAA -> -BABABBBAAA -> B-ABABBBAAA -> BBA-ABBBAAA -> BBABA-BBAAA -> BBABABB-AAA -> BBABABBAA-A -> BBABABBA-AA -> BBABAB-ABAA -> BBAB-BAABAA -> BB-BABAABAA -> -BBBABAABAA -> B-BBABAABAA -> BBB-ABAABAA -> BBBBA-AABAA -> BBBBAAA-BAA -> BBBBAAAAB-A -> BBBBAAAABA- -> BBBBAAAA-AB -> BBBBAA-AAAB -> BBBB-AAAAAB -> BB-BBAAAAAB -> -BBBBAAAAAB -> B-BBBAAAAAB -> BBB-BAAAAAB -> BBBAB-AAAAB -> BBBABAA-AAB -> BBBABAAAA-B -> BBBABAAAAB- -> BBBABAAA-BA -> BBBABA-AABA -> BBBA-ABAABA -> BB-ABABAABA -> -BBABABAABA -> B-BABABAABA -> BAB-BABAABA -> BABAB-BAABA -> BABABAB-ABA -> BABABABBA-A -> BABABABB-AA -> BABABA-BBAA -> BABA-ABBBAA -> BA-ABABBBAA -> -ABABABBBAA -> A-BABABBBAA -> AAB-BABBBAA -> AABAB-BBBAA -> AABABBB-BAA -> AABABBBAB-A -> AABABBBA-BA -> AABABB-ABBA -> AABA-BBABBA -> AA-ABBBABBA -> -AAABBBABBA -> A-AABBBABBA -> AAA-BBBABBA -> AAABB-BABBA -> AAABBAB-BBA -> AAABBABBB-A -> AAABBABB-BA -> AAABBA-BBBA -> AAAB-ABBBBA -> AA-BAABBBBA -> -AABAABBBBA -> A-ABAABBBBA -> ABA-AABBBBA -> ABAAA-BBBBA -> ABAAABB-BBA -> ABAAABBBB-A -> ABAAABBB-BA -> ABAAAB-BBBA -> ABAA-BABBBA -> AB-AABABBBA -> -BAAABABBBA -> B-AAABABBBA -> BAA-ABABBBA -> BAABA-ABBBA -> BAABABA-BBA -> BAABABABB-A -> BAABABAB-BA -> BAABAB-BABA -> BAAB-BABABA -> BA-BABABABA -> -ABBABABABA -> A-BBABABABA -> ABB-ABABABA -> ABBBA-ABABA -> ABBBABA-ABA -> ABBBABABA-A -> ABBBABAB-AA -> ABBBAB-BAAA -> ABBB-BABAAA -> AB-BBBABAAA -> -BABBBABAAA -> B-ABBBABAAA -> BBA-BBABAAA -> BBABB-ABAAA -> BBABBBA-AAA -> BBABBBAAA-A -> BBABBBAA-AA -> BBABBB-AAAA -> BBAB-BBAAAA -> BB-BABBAAAA -> -BBBABBAAAA -> B-BBABBAAAA -> BBB-ABBAAAA -> BBBBA-BAAAA -> BBBBAAB-AAA -> BBBBAABAA-A -> BBBBAABA-AA -> BBBBAA-ABAA -> BBBB-AAABAA -> BB-BBAAABAA -> -BBBBAAABAA -> B-BBBAAABAA -> BBB-BAAABAA -> BBBAB-AABAA -> BBBABAA-BAA -> BBBABAAAB-A -> BBBABAAABA- -> BBBABAAA-AB -> BBBABA-AAAB -> BBBA-ABAAAB -> BB-ABABAAAB -> -BBABABAAAB -> B-BABABAAAB -> BAB-BABAAAB -> BABAB-BAAAB -> BABABAB-AAB -> BABABABAA-B -> BABABABAAB- -> BABABABA-BA -> BABABA-ABBA -> BABA-ABABBA -> BA-ABABABBA -> -ABABABABBA -> A-BABABABBA -> AAB-BABABBA -> AABAB-BABBA -> AABABAB-BBA -> AABABABBB-A -> AABABABB-BA -> AABABA-BBBA -> AABA-ABBBBA -> AA-ABABBBBA -> -AAABABBBBA -> A-AABABBBBA -> AAA-BABBBBA -> AAAAB-BBBBA -> AAAABBB-BBA -> AAAABBBBB-A -> AAAABBBB-BA -> AAAABB-BBBA -> AAAA-BBBBBA -> AA-AABBBBBA -> -AAAABBBBBA -> A-AAABBBBBA -> AAA-ABBBBBA -> AAABA-BBBBA -> AAABABB-BBA -> AAABABBBB-A -> AAABABBB-BA -> AAABAB-BBBA -> AAAB-BABBBA -> AA-BABABBBA -> -AABABABBBA -> A-ABABABBBA -> ABA-ABABBBA -> ABABA-ABBBA -> ABABABA-BBA -> ABABABABB-A -> ABABABAB-BA -> ABABAB-BABA -> ABAB-BABABA -> AB-BABABABA -> -BABABABABA -> B-ABABABABA -> BBA-ABABABA -> BBABA-ABABA -> BBABABA-ABA -> BBABABABA-A -> BBABABAB-AA -> BBABAB-BAAA -> BBAB-BABAAA -> BB-BABABAAA -> -BBBABABAAA -> B-BBABABAAA -> BBB-ABABAAA -> BBBBA-ABAAA -> BBBBABA-AAA -> BBBBABAAA-A -> BBBBABAA-AA -> BBBBAB-AAAA -> BBBB-BAAAAA,703.0,390,0.001911,391,390,1.000000
